loc,abbrev,year,cases,cases_avg
"ALABAMA","AL",1948,1810,4482
"ALABAMA","AL",1949,11300,4315
"ALABAMA","AL",1950,1630,6061
"ALABAMA","AL",1951,3161,6382
"ALABAMA","AL",1952,12404,5809
"ALABAMA","AL",1953,3416,5899
"ALABAMA","AL",1954,8433,6690
"ALABAMA","AL",1955,2082,6062
"ALABAMA","AL",1956,7117,6912
"ALABAMA","AL",1957,9264,5919
"ALABAMA","AL",1958,7664,5917
"ALABAMA","AL",1959,3467,5012
"ALABAMA","AL",1960,2075,3635
"ALABAMA","AL",1961,2588,2335
"ALABAMA","AL",1962,2379,5265
"ALABAMA","AL",1963,1165,5319
"ALABAMA","AL",1964,18118,5164
"ALABAMA","AL",1965,2345,4957
"ALABAMA","AL",1966,1814,4756
"ALABAMA","AL",1967,1345,1135
"ALABAMA","AL",1968,158,749
"ALABAMA","AL",1969,12,785
"ALABAMA","AL",1970,417,544
"ALABAMA","AL",1971,1993,516
"ALABAMA","AL",1972,142,518
"ALABAMA","AL",1973,15,435
"ALASKA","AK",1956,2511,1356
"ALASKA","AK",1957,960,1424
"ALASKA","AK",1958,1259,1603
"ALASKA","AK",1959,1829,1301
"ALASKA","AK",1960,1456,1390
"ALASKA","AK",1961,1002,1508
"ALASKA","AK",1962,1406,1374
"ALASKA","AK",1963,1849,1124
"ALASKA","AK",1964,1157,1054
"ALASKA","AK",1965,208,802
"ALASKA","AK",1966,648,433
"ALASKA","AK",1967,148,205
"ALASKA","AK",1968,4,178
"ALASKA","AK",1969,19,57
"ALASKA","AK",1970,73,29
"ALASKA","AK",1971,40,29
"ALASKA","AK",1972,7,25
"ALASKA","AK",1978,2,17
"ARIZONA","AZ",1948,4190,3076
"ARIZONA","AZ",1949,3904,4547
"ARIZONA","AZ",1950,2512,4781
"ARIZONA","AZ",1951,10667,4956
"ARIZONA","AZ",1952,2631,5156
"ARIZONA","AZ",1953,5066,6684
"ARIZONA","AZ",1954,4906,5907
"ARIZONA","AZ",1955,10149,6913
"ARIZONA","AZ",1956,6785,7869
"ARIZONA","AZ",1957,7659,8701
"ARIZONA","AZ",1958,9845,7532
"ARIZONA","AZ",1959,9067,7749
"ARIZONA","AZ",1960,4305,7487
"ARIZONA","AZ",1961,7868,7294
"ARIZONA","AZ",1962,6350,6742
"ARIZONA","AZ",1963,8878,6190
"ARIZONA","AZ",1964,6310,5714
"ARIZONA","AZ",1965,1542,4648
"ARIZONA","AZ",1966,5489,2921
"ARIZONA","AZ",1967,1022,1767
"ARIZONA","AZ",1968,243,1659
"ARIZONA","AZ",1969,541,664
"ARIZONA","AZ",1970,1002,633
"ARIZONA","AZ",1971,513,587
"ARIZONA","AZ",1972,868,483
"ARIZONA","AZ",1973,11,299
"ARIZONA","AZ",1974,21,243
"ARIZONA","AZ",1975,83,113
"ARIZONA","AZ",1976,231,122
"ARIZONA","AZ",1977,218,135
"ARIZONA","AZ",1978,58,183
"ARKANSAS","AR",1948,3628,4717
"ARKANSAS","AR",1949,12465,5621
"ARKANSAS","AR",1950,1833,5796
"ARKANSAS","AR",1951,7787,7635
"ARKANSAS","AR",1952,3265,5655
"ARKANSAS","AR",1953,12827,5898
"ARKANSAS","AR",1954,2561,6068
"ARKANSAS","AR",1955,3052,5704
"ARKANSAS","AR",1956,8637,3739
"ARKANSAS","AR",1957,1441,3390
"ARKANSAS","AR",1958,3002,3098
"ARKANSAS","AR",1959,816,1708
"ARKANSAS","AR",1960,1596,1707
"ARKANSAS","AR",1961,1684,1397
"ARKANSAS","AR",1962,1438,1455
"ARKANSAS","AR",1963,1453,1375
"ARKANSAS","AR",1964,1106,1314
"ARKANSAS","AR",1965,1194,1280
"ARKANSAS","AR",1966,1378,990
"ARKANSAS","AR",1967,1269,769
"ARKANSAS","AR",1968,3,537
"ARKANSAS","AR",1969,3,349
"ARKANSAS","AR",1970,32,97
"ARKANSAS","AR",1971,436,104
"ARKANSAS","AR",1972,13,106
"ARKANSAS","AR",1973,36,100
"ARKANSAS","AR",1974,14,17
"ARKANSAS","AR",1975,2,16
"ARKANSAS","AR",1976,20,12
"ARKANSAS","AR",1977,8,12
"ARKANSAS","AR",1978,18,13
"CALIFORNIA","CA",1948,48654,32281
"CALIFORNIA","CA",1949,33366,33056
"CALIFORNIA","CA",1950,15393,39649
"CALIFORNIA","CA",1951,61391,40700
"CALIFORNIA","CA",1952,39443,46020
"CALIFORNIA","CA",1953,53906,56453
"CALIFORNIA","CA",1954,59966,50626
"CALIFORNIA","CA",1955,67560,52960
"CALIFORNIA","CA",1956,32254,49194
"CALIFORNIA","CA",1957,51115,44991
"CALIFORNIA","CA",1958,35074,35923
"CALIFORNIA","CA",1959,38951,36843
"CALIFORNIA","CA",1960,22222,32248
"CALIFORNIA","CA",1961,36853,29239
"CALIFORNIA","CA",1962,28140,27979
"CALIFORNIA","CA",1963,20028,26291
"CALIFORNIA","CA",1964,32650,21976
"CALIFORNIA","CA",1965,13785,17400
"CALIFORNIA","CA",1966,15276,13724
"CALIFORNIA","CA",1967,5260,7368
"CALIFORNIA","CA",1968,1648,4996
"CALIFORNIA","CA",1969,871,2512
"CALIFORNIA","CA",1970,1923,2102
"CALIFORNIA","CA",1971,2859,1933
"CALIFORNIA","CA",1972,3209,1976
"CALIFORNIA","CA",1973,802,2635
"CALIFORNIA","CA",1974,1086,2522
"CALIFORNIA","CA",1975,5217,3473
"CALIFORNIA","CA",1976,2294,3442
"CALIFORNIA","CA",1977,7968,3419
"CALIFORNIA","CA",1978,643,2553
"COLORADO","CO",1948,9069,7295
"COLORADO","CO",1949,7274,7197
"COLORADO","CO",1950,5355,7763
